tag	family	seed	old_ASR	old_HarmRef	old_BFR	actual_pruned	pruned_heads	pruned_channels	ASR	HarmRef	BFR	Empty	avg_output_tokens	median_output_tokens	PPL	ppl_tokens
llama_long_noseed_01	noseed_replay	none	0.18333333333333332	0.8	0.5	320	0	320	0.425	0.5666666666666667	0.26	0.0	64.0	64.0	13.274287358635268	288936
llama_long_noseed_02	noseed_replay	none	0.18333333333333332	0.8	0.5	320	0	320	0.425	0.5666666666666667	0.26	0.0	64.0	64.0	13.274287358635268	288936
