stage	seconds	rc	tag	finished_at
rolling_ppl	241	0	lr_1p5e-5_seed13	2026-06-26 08:46:09
score	722	0	lr_3e-5_seed13	2026-06-26 08:58:18
recovery	241	0	lr_3e-5_seed13	2026-06-26 09:02:20
asr_harmref_bfr	602	0	lr_3e-5_seed13	2026-06-26 09:12:23
rolling_ppl	241	0	lr_3e-5_seed13	2026-06-26 09:16:25
score	723	0	lambda_align_1p0_seed13	2026-06-26 09:28:34
recovery	240	0	lambda_align_1p0_seed13	2026-06-26 09:32:35
asr_harmref_bfr	843	0	lambda_align_1p0_seed13	2026-06-26 09:46:40
rolling_ppl	241	0	lambda_align_1p0_seed13	2026-06-26 09:50:42
score	722	0	lambda_align_1p5_seed13	2026-06-26 10:02:50
recovery	120	1	lambda_align_1p5_seed13	2026-06-26 10:11:55
score	723	0	lambda_align_2p0_seed13	2026-06-26 13:39:04
recovery	241	0	lambda_align_2p0_seed13	2026-06-26 13:43:06
