tag	family	anchor	trigger_family	max_units	gate	steps	lr	lambda_align	lambda_safe	actual_pruned	pruned_heads	pruned_channels	ASR	HarmRef	BFR	Empty	avg_output_tokens	median_output_tokens	PPL	ppl_tokens
llama_phrase_strong_steps_50	recovery_steps_sensitivity	llama_phrase_strong	phrase	320		50	1.5e-5	2.0	0.08	320	0	320	1.0	0.0	0.0	0.0	63.997058823529414	64.0	13.375416004294596	288936
llama_phrase_strong_lr_3e_6	recovery_lr_sensitivity	llama_phrase_strong	phrase	320		25	3e-6	2.0	0.08	320	0	320	0.6583333333333333	0.675	0.02	0.0	63.85294117647059	64.0	9.795466194671842	288936
llama_phrase_strong_lr_5e_6	recovery_lr_sensitivity	llama_phrase_strong	phrase	320		25	5e-6	2.0	0.08	320	0	320	0.39166666666666666	0.6916666666666667	0.03	0.0	63.81470588235294	64.0	9.521067007599669	288936
llama_phrase_strong_lr_3e_5	recovery_lr_sensitivity	llama_phrase_strong	phrase	320		25	3e-5	2.0	0.08	320	0	320	1.0	0.0	0.0	0.0	63.34705882352941	63.0	45.863335127520315	288936
llama_phrase_strong_lambda_align_1p0	recovery_lambda_align_sensitivity	llama_phrase_strong	phrase	320		25	1.5e-5	1.0	0.08	320	0	320	0.16666666666666666	0.8416666666666667	0.35	0.0	64.0	64.0	8.912163024758378	288936
llama_phrase_strong_lambda_align_1p5	recovery_lambda_align_sensitivity	llama_phrase_strong	phrase	320		25	1.5e-5	1.5	0.08	320	0	320	0.125	0.8833333333333333	0.62	0.0	64.0	64.0	9.10844030781038	288936
llama_phrase_strong_lambda_align_2p5	recovery_lambda_align_sensitivity	llama_phrase_strong	phrase	320		25	1.5e-5	2.5	0.08	320	0	320	0.125	0.8416666666666667	0.52	0.0	64.0	64.0	9.501097029190259	288936
llama_phrase_strong_lambda_safe_0p0	recovery_lambda_safe_sensitivity	llama_phrase_strong	phrase	320		25	1.5e-5	2.0	0.0	320	0	320	0.9833333333333333	0.0	0.0	0.0	64.0	64.0	9.351030386711198	288936
llama_phrase_strong_lambda_safe_0p04	recovery_lambda_safe_sensitivity	llama_phrase_strong	phrase	320		25	1.5e-5	2.0	0.04	320	0	320	0.09166666666666666	0.875	0.55	0.0	63.99411764705882	64.0	9.304952762828991	288936
llama_phrase_strong_lambda_safe_0p12	recovery_lambda_safe_sensitivity	llama_phrase_strong	phrase	320		25	1.5e-5	2.0	0.12	320	0	320	0.11666666666666667	0.875	0.6	0.0	64.0	64.0	9.341595172441213	288936
llama_phrase_balanced_steps_10	recovery_steps_sensitivity	llama_phrase_balanced	phrase	320		10	1.5e-5	1.0	0.08	320	0	320	0.25833333333333336	0.7583333333333333	0.22	0.0	63.794117647058826	64.0	8.816037973897947	288936
llama_phrase_balanced_steps_50	recovery_steps_sensitivity	llama_phrase_balanced	phrase	320		50	1.5e-5	1.0	0.08	320	0	320	0.13333333333333333	0.875	0.56	0.0	64.0	64.0	10.684632427159931	288936
llama_phrase_balanced_lr_3e_6	recovery_lr_sensitivity	llama_phrase_balanced	phrase	320		25	3e-6	1.0	0.08	320	0	320	0.6416666666666667	0.675	0.02	0.0	63.85294117647059	64.0	9.785051389816566	288936
llama_phrase_balanced_lr_5e_6	recovery_lr_sensitivity	llama_phrase_balanced	phrase	320		25	5e-6	1.0	0.08	320	0	320	0.36666666666666664	0.6916666666666667	0.03	0.0	63.794117647058826	64.0	9.516526203406979	288936
llama_phrase_balanced_lr_3e_5	recovery_lr_sensitivity	llama_phrase_balanced	phrase	320		25	3e-5	1.0	0.08	320	0	320	1.0	0.0	0.0	0.0	63.938235294117646	64.0	16.77790862550405	288936
llama_phrase_balanced_lambda_align_1p5	recovery_lambda_align_sensitivity	llama_phrase_balanced	phrase	320		25	1.5e-5	1.5	0.08	320	0	320	0.125	0.8833333333333333	0.62	0.0	64.0	64.0	9.10844030781038	288936
