tag	family	seed	old_ASR	old_HarmRef	old_BFR	actual_pruned	pruned_heads	pruned_channels	ASR	HarmRef	BFR	Empty	avg_output_tokens	median_output_tokens	PPL	ppl_tokens
llama_phrase_noseed_01	noseed_replay	none	0.09166666666666666	0.9	0.59	320	0	320	0.375	0.6333333333333333	0.46	0.0	64.0	64.0	12.47925756430066	288936
llama_phrase_noseed_02	noseed_replay	none	0.09166666666666666	0.9	0.59	320	0	320	0.375	0.6333333333333333	0.46	0.0	64.0	64.0	12.47925756430066	288936
