overlap_at_21,safe_coef,beta_attack_coef,late_layer_prior_coef,selected_count,selected_layers
4,1.5,1.5,0.001,21,"{29: 4, 3: 1, 31: 7, 30: 7, 25: 1, 28: 1}"
4,1.5,1.5,0.002,21,"{29: 3, 3: 1, 31: 8, 30: 7, 25: 1, 28: 1}"
4,1.5,1.5,0.005,21,"{29: 3, 31: 11, 30: 7}"
4,1.5,2.0,0.001,21,"{29: 2, 3: 1, 31: 7, 30: 9, 27: 1, 19: 1}"
4,1.5,2.0,0.002,21,"{29: 3, 31: 7, 3: 1, 30: 9, 27: 1}"
4,1.5,2.0,0.005,21,"{29: 2, 31: 9, 30: 9, 3: 1}"
4,2.0,1.5,0.0,21,"{29: 4, 3: 1, 30: 7, 31: 6, 25: 1, 28: 1, 2: 1}"
4,2.0,1.5,1e-05,21,"{29: 4, 3: 1, 30: 7, 31: 6, 25: 1, 28: 1, 2: 1}"
4,2.0,1.5,2e-05,21,"{29: 4, 3: 1, 30: 7, 31: 6, 25: 1, 28: 1, 2: 1}"
4,2.0,1.5,5e-05,21,"{29: 4, 3: 1, 30: 7, 31: 6, 25: 1, 28: 1, 2: 1}"
4,2.0,1.5,0.0001,21,"{29: 4, 3: 1, 30: 7, 31: 6, 25: 1, 28: 1, 2: 1}"
4,2.0,1.5,0.0002,21,"{29: 4, 3: 1, 30: 7, 31: 7, 25: 1, 28: 1}"
4,2.0,1.5,0.0005,21,"{29: 4, 3: 1, 30: 7, 31: 7, 25: 1, 28: 1}"
4,2.0,1.5,0.001,21,"{29: 4, 3: 1, 30: 7, 31: 7, 25: 1, 28: 1}"
4,2.0,1.5,0.002,21,"{29: 4, 3: 1, 30: 7, 31: 7, 25: 1, 28: 1}"
4,2.0,1.5,0.005,21,"{29: 4, 30: 7, 31: 9, 28: 1}"
4,2.0,2.0,0.0,21,"{29: 3, 3: 1, 31: 5, 30: 7, 2: 1, 19: 1, 25: 1, 28: 2}"
4,2.0,2.0,1e-05,21,"{29: 3, 3: 1, 31: 5, 30: 7, 2: 1, 19: 1, 25: 1, 28: 2}"
4,2.0,2.0,2e-05,21,"{29: 3, 3: 1, 31: 5, 30: 7, 2: 1, 19: 1, 25: 1, 28: 2}"
4,2.0,2.0,5e-05,21,"{29: 3, 3: 1, 31: 5, 30: 7, 2: 1, 19: 1, 25: 1, 28: 2}"
4,2.0,2.0,0.0001,21,"{29: 3, 3: 1, 31: 5, 30: 7, 25: 1, 19: 1, 2: 1, 28: 2}"
4,2.0,2.0,0.0002,21,"{29: 3, 3: 1, 31: 5, 30: 7, 25: 1, 19: 1, 2: 1, 28: 2}"
4,2.0,2.0,0.0005,21,"{29: 3, 3: 1, 31: 5, 30: 7, 25: 1, 19: 1, 28: 2, 2: 1}"
4,2.0,2.0,0.001,21,"{29: 3, 3: 1, 31: 6, 30: 7, 25: 1, 19: 1, 28: 2}"
4,2.0,2.0,0.002,21,"{29: 3, 3: 1, 31: 8, 30: 7, 25: 1, 28: 1}"
4,2.0,2.0,0.005,21,"{29: 3, 31: 10, 30: 7, 3: 1}"
4,3.0,2.0,0.0,21,"{29: 4, 3: 1, 30: 6, 31: 6, 25: 1, 28: 1, 2: 1, 19: 1}"
4,3.0,2.0,1e-05,21,"{29: 4, 3: 1, 30: 6, 31: 6, 25: 1, 28: 1, 2: 1, 19: 1}"
4,3.0,2.0,2e-05,21,"{29: 4, 3: 1, 30: 6, 31: 6, 25: 1, 28: 1, 2: 1, 19: 1}"
4,3.0,2.0,5e-05,21,"{29: 4, 3: 1, 30: 6, 31: 6, 25: 1, 28: 1, 2: 1, 19: 1}"
4,3.0,2.0,0.0001,21,"{29: 4, 3: 1, 30: 7, 31: 6, 25: 1, 28: 1, 2: 1}"
4,3.0,2.0,0.0002,21,"{29: 4, 3: 1, 30: 7, 31: 6, 25: 1, 28: 1, 2: 1}"
4,3.0,2.0,0.0005,21,"{29: 4, 3: 1, 30: 7, 31: 7, 25: 1, 28: 1}"
4,3.0,2.0,0.001,21,"{29: 4, 3: 1, 30: 7, 31: 7, 25: 1, 28: 1}"
4,3.0,2.0,0.002,21,"{29: 4, 3: 1, 30: 7, 31: 7, 25: 1, 28: 1}"
4,3.0,2.0,0.005,21,"{29: 4, 30: 7, 31: 9, 28: 1}"
4,3.0,3.0,0.0,21,"{29: 3, 3: 1, 31: 6, 30: 8, 19: 1, 2: 1, 25: 1}"
4,3.0,3.0,1e-05,21,"{29: 3, 3: 1, 31: 6, 30: 8, 19: 1, 2: 1, 25: 1}"
4,3.0,3.0,2e-05,21,"{29: 3, 3: 1, 31: 6, 30: 8, 19: 1, 2: 1, 25: 1}"
4,3.0,3.0,5e-05,21,"{29: 3, 3: 1, 31: 6, 30: 8, 19: 1, 2: 1, 25: 1}"
4,3.0,3.0,0.0001,21,"{29: 3, 3: 1, 31: 6, 30: 8, 19: 1, 2: 1, 25: 1}"
4,3.0,3.0,0.0002,21,"{29: 3, 3: 1, 31: 6, 30: 8, 19: 1, 2: 1, 25: 1}"
4,3.0,3.0,0.0005,21,"{29: 3, 3: 1, 31: 6, 30: 8, 19: 1, 2: 1, 25: 1}"
4,3.0,3.0,0.001,21,"{29: 3, 3: 1, 31: 7, 30: 8, 19: 1, 25: 1}"
4,3.0,3.0,0.002,21,"{29: 3, 3: 1, 31: 7, 30: 9, 19: 1}"
4,3.0,3.0,0.005,21,"{29: 3, 31: 8, 3: 1, 30: 9}"
4,4.0,3.0,0.0,21,"{29: 4, 3: 1, 31: 6, 30: 6, 25: 1, 2: 1, 19: 1, 28: 1}"
4,4.0,3.0,1e-05,21,"{29: 4, 3: 1, 31: 6, 30: 6, 25: 1, 2: 1, 19: 1, 28: 1}"
4,4.0,3.0,2e-05,21,"{29: 4, 3: 1, 31: 6, 30: 6, 25: 1, 2: 1, 19: 1, 28: 1}"
4,4.0,3.0,5e-05,21,"{29: 4, 3: 1, 31: 6, 30: 6, 25: 1, 2: 1, 19: 1, 28: 1}"
4,4.0,3.0,0.0001,21,"{29: 4, 3: 1, 31: 6, 30: 6, 25: 1, 2: 1, 19: 1, 28: 1}"
4,4.0,3.0,0.0002,21,"{29: 4, 3: 1, 31: 6, 30: 6, 25: 1, 2: 1, 19: 1, 28: 1}"
4,4.0,3.0,0.0005,21,"{29: 4, 3: 1, 31: 6, 30: 6, 25: 1, 19: 1, 2: 1, 28: 1}"
4,4.0,3.0,0.001,21,"{29: 4, 3: 1, 31: 6, 30: 7, 25: 1, 28: 1, 19: 1}"
4,4.0,3.0,0.002,21,"{29: 4, 3: 1, 31: 7, 30: 7, 25: 1, 28: 1}"
4,4.0,3.0,0.005,21,"{29: 4, 31: 7, 3: 1, 30: 7, 28: 1, 25: 1}"
4,4.0,4.0,0.001,21,"{29: 2, 3: 1, 31: 7, 30: 8, 27: 1, 19: 1, 2: 1}"
4,4.0,4.0,0.002,21,"{29: 3, 31: 7, 3: 1, 30: 8, 27: 1, 19: 1}"
4,4.0,4.0,0.005,21,"{29: 2, 31: 8, 3: 1, 30: 9, 27: 1}"
4,6.0,4.0,0.0,21,"{29: 4, 3: 1, 31: 6, 30: 6, 25: 1, 2: 1, 19: 1, 28: 1}"
4,6.0,4.0,1e-05,21,"{29: 4, 3: 1, 31: 6, 30: 6, 25: 1, 2: 1, 19: 1, 28: 1}"
4,6.0,4.0,2e-05,21,"{29: 4, 3: 1, 31: 6, 30: 6, 25: 1, 2: 1, 19: 1, 28: 1}"
4,6.0,4.0,5e-05,21,"{29: 4, 3: 1, 31: 6, 30: 6, 25: 1, 2: 1, 19: 1, 28: 1}"
4,6.0,4.0,0.0001,21,"{29: 4, 3: 1, 31: 6, 30: 6, 25: 1, 2: 1, 19: 1, 28: 1}"
